query-id	corpus-id	score
0	18850	1
4	196463	1
5	69306	1
6	560251	1
6	188530	1
6	564488	1
7	411063	1
9	509122	1
9	184698	1
11	596427	1
12	192516	1
12	338700	1
12	158738	1
13	503678	1
14	398960	1
16	60590	1
19	315086	1
19	142623	1
20	447231	1
21	497642	1
23	550624	1
23	32102	1
25	107584	1
25	562777	1
27	537326	1
28	250640	1
30	551175	1
30	434082	1
30	336922	1
30	19233	1
31	156554	1
32	279480	1
32	69623	1
32	84645	1
33	519798	1
33	425387	1
35	498681	1
35	80913	1
36	275249	1
36	368649	1
37	523564	1
41	176229	1
43	76662	1
45	284610	1
45	261220	1
46	91325	1
47	133299	1
48	108062	1
48	401260	1
48	329810	1
48	512151	1
49	352927	1
51	107817	1
51	257168	1
51	75195	1
52	566417	1
52	125111	1
53	84077	1
53	562798	1
53	102362	1
53	323269	1
53	119308	1
53	184852	1
53	119210	1
53	176196	1
54	590775	1
54	109546	1
54	511651	1
57	203633	1
57	391403	1
57	77818	1
57	226530	1
59	71601	1
61	524134	1
62	34810	1
63	509617	1
64	391619	1
65	580624	1
65	109203	1
66	397608	1
66	540395	1
66	405412	1
67	370815	1
67	294864	1
67	18792	1
67	511571	1
69	378484	1
70	327002	1
71	372052	1
72	549870	1
72	302049	1
74	46680	1
75	297965	1
76	375357	1
78	152407	1
80	252473	1
81	451207	1
82	500708	1
83	534277	1
85	431230	1
86	71569	1
87	357938	1
87	537593	1
88	415946	1
91	523431	1
92	465787	1
93	292748	1
95	586355	1
96	328863	1
97	578529	1
97	77352	1
99	474248	1
99	193081	1
99	341413	1
99	136662	1
99	153679	1
102	494264	1
102	187073	1
105	41356	1
105	107564	1
107	276408	1
107	269646	1
108	396982	1
110	520386	1
110	220063	1
110	410128	1
110	459119	1
110	482165	1
110	397152	1
111	46092	1
112	153541	1
439	202630	1
442	92144	1
442	355592	1
443	194955	1
444	573518	1
444	175824	1
444	483282	1
444	479203	1
445	178942	1
446	450371	1
446	89506	1
447	297588	1
447	357079	1
448	378437	1
448	269987	1
449	130118	1
449	366146	1
449	526383	1
450	159709	1
450	347590	1
452	467704	1
453	592926	1
454	144927	1
454	295980	1
454	110387	1
454	201183	1
456	146995	1
456	168382	1
457	59686	1
457	276411	1
458	263485	1
458	218858	1
460	591357	1
460	556021	1
460	555097	1
461	237392	1
461	159156	1
461	101329	1
461	239459	1
461	502203	1
462	447167	1
